method,dataset,comm_delay_frames,comp_delay_frames,total_remote_delay_frames,AP@0.3,AP@0.5,AP@0.7,eval_file
DATA,V2X-Sim 2.0,0,0,0,0.8524836138336425,0.8446439752705729,0.7885022496677915,/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_32_32_epoch19.yaml
DATA,V2X-Sim 2.0,0,2,2,0.7840756501079439,0.7214176470468563,0.6231140401257694,/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_comm0_comp2_32_32_epoch19.yaml
DATA,V2X-Sim 2.0,0,4,4,0.7161826500571734,0.6728199231755612,0.5807736816212209,/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_comm0_comp4_32_32_epoch19.yaml
DATA,V2X-Sim 2.0,1,0,1,0.8490198102553937,0.8346856381861282,0.7667256165972065,/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_comm1_comp0_32_32_epoch19.yaml
DATA,V2X-Sim 2.0,1,2,3,0.777641012797122,0.7202935071573073,0.6260518585991849,/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_comm1_comp2_32_32_epoch19.yaml
DATA,V2X-Sim 2.0,1,4,5,0.7202431163847277,0.6779346399540082,0.5866109805745183,/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_comm1_comp4_32_32_epoch19.yaml
DATA,V2X-Sim 2.0,2,0,2,0.8397096093796439,0.8271215017410356,0.761524603353293,/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_comm2_comp0_32_32_epoch19.yaml
DATA,V2X-Sim 2.0,2,2,4,0.7805181425600248,0.723352559651617,0.6306451851119322,/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_comm2_comp2_32_32_epoch19.yaml
DATA,V2X-Sim 2.0,2,4,6,0.7264335250503561,0.6858918456671762,0.5920856875305582,/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_comm2_comp4_32_32_epoch19.yaml
DATA,V2X-Sim 2.0,3,0,3,0.8338178085544098,0.8218701048549296,0.7539821629851174,/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_comm3_comp0_32_32_epoch19.yaml
DATA,V2X-Sim 2.0,3,2,5,0.777997096456502,0.7224010966049622,0.6287816921946939,/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_comm3_comp2_32_32_epoch19.yaml
DATA,V2X-Sim 2.0,3,4,7,0.7270665220896263,0.6869437143789474,0.5916558368012872,/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_comm3_comp4_32_32_epoch19.yaml
DATA,V2X-Sim 2.0,4,0,4,0.8309143095703538,0.8188523961028213,0.7547250185931028,/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_comm4_comp0_32_32_epoch19.yaml
DATA,V2X-Sim 2.0,4,2,6,0.7750884374575905,0.7225882568559348,0.6303590281313245,/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_comm4_comp2_32_32_epoch19.yaml
DATA,V2X-Sim 2.0,4,4,8,0.7292034320902799,0.6894286357031224,0.5928457153997403,/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_comm4_comp4_32_32_epoch19.yaml
DATA,V2X-Sim 2.0,5,0,5,0.829873062352107,0.817767940576207,0.7516382620041617,/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_comm5_comp0_32_32_epoch19.yaml
DATA,V2X-Sim 2.0,5,2,7,0.7769074967988482,0.7232566596690537,0.6308878128007529,/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_comm5_comp2_32_32_epoch19.yaml
DATA,V2X-Sim 2.0,5,4,9,0.7297149482449223,0.6889973232526844,0.5917690708459746,/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_comm5_comp4_32_32_epoch19.yaml
